timestamp,temp_raw,ldr_raw,temp_fix,ldr,fix
2026-04-11T02:50:06Z,22.01,22.01,429,429
2026-04-11T02:50:07Z,22.11,22.11,415,415
2026-04-11T02:50:08Z,21.86,21.86,437,437
2026-04-11T02:50:09Z,22.48,22.48,448,448
2026-04-11T02:50:10Z,22.07,22.07,442,442
2026-04-11T02:50:11Z,21.87,21.87,450,450
2026-04-11T02:50:12Z,22.38,22.38,452,452
2026-04-11T02:50:13Z,22.28,22.28,457,457
2026-04-11T02:50:14Z,21.97,21.97,460,460
2026-04-11T02:50:15Z,21.92,21.92,439,439
2026-04-11T02:50:16Z,21.96,21.96,442,442
2026-04-11T02:50:17Z,22.22,22.22,444,444
2026-04-11T02:50:18Z,22.18,22.18,437,437
2026-04-11T02:50:19Z,21.96,21.96,427,427
2026-04-11T02:50:20Z,21.72,21.72,433,433
2026-04-11T02:50:21Z,22.17,22.17,534,534
2026-04-11T02:50:22Z,22.01,22.01,420,420
2026-04-11T02:50:23Z,21.98,21.98,416,416
2026-04-11T02:50:24Z,22.35,22.35,427,427
2026-04-11T02:50:25Z,22.05,22.05,401,401
2026-04-11T02:50:26Z,21.96,21.96,402,402
2026-04-11T02:50:27Z,22.23,22.23,404,404
2026-04-11T02:50:28Z,22.44,22.44,393,393
2026-04-11T02:50:29Z,22.52,22.52,394,394
2026-04-11T02:50:30Z,22.54,22.54,409,409
2026-04-11T02:50:31Z,22.2,22.2,399,399
2026-04-11T02:50:32Z,22.27,22.27,403,403
2026-04-11T02:50:33Z,21.89,21.89,402,402
2026-04-11T02:50:34Z,22.1,22.1,420,420
2026-04-11T02:50:35Z,22.56,22.56,413,413
2026-04-11T02:50:36Z,22.26,22.26,419,419
2026-04-11T02:50:37Z,22.41,22.41,417,417
2026-04-11T02:50:38Z,22.04,22.04,439,439
2026-04-11T02:50:39Z,22.34,22.34,436,436
2026-04-11T02:50:40Z,21.99,21.99,441,441
2026-04-11T02:50:41Z,22.27,22.27,424,424
2026-04-11T02:50:42Z,22.44,22.44,438,438
2026-04-11T02:50:43Z,22.64,22.64,457,457
2026-04-11T02:50:44Z,22.1,22.1,461,461
2026-04-11T02:50:45Z,22.46,22.46,444,444
2026-04-11T02:50:46Z,22.54,22.54,446,446
2026-04-11T02:50:47Z,22.74,22.74,442,442
2026-04-11T02:50:48Z,22.14,22.14,443,443
2026-04-11T02:50:49Z,22.44,22.44,439,439
2026-04-11T02:50:50Z,22.67,22.67,405,405
2026-04-11T02:50:51Z,22.2,22.2,446,446
2026-04-11T02:50:52Z,22.28,22.28,437,437
2026-04-11T02:50:53Z,22.44,22.44,428,428
2026-04-11T02:50:54Z,22.63,22.63,427,427
2026-04-11T02:50:55Z,22.86,22.86,416,416
2026-04-11T02:50:56Z,22.61,22.61,431,431
2026-04-11T02:50:57Z,22.66,22.66,406,406
2026-04-11T02:50:58Z,22.5,22.5,404,404
2026-04-11T02:50:59Z,22.5,22.5,398,398
2026-04-11T02:51:00Z,22.67,22.67,402,402
2026-04-11T02:51:01Z,22.82,22.82,406,406
2026-04-11T02:51:02Z,22.36,22.36,399,399
2026-04-11T02:51:03Z,22.62,22.62,419,419
2026-04-11T02:51:04Z,22.8,22.8,396,396
2026-04-11T02:51:05Z,22.86,22.86,409,409
