timestamp,temp_raw,ldr_raw
2026-04-11T01:43:48Z,21.91,414
2026-04-11T01:43:49Z,22.49,432
2026-04-11T01:43:50Z,22.18,419
2026-04-11T01:43:51Z,21.95,432
2026-04-11T01:43:52Z,21.61,442
2026-04-11T01:43:53Z,22.1,446
2026-04-11T01:43:54Z,21.82,441
2026-04-11T01:43:55Z,22.03,467
2026-04-11T01:43:56Z,22.37,471
2026-04-11T01:43:57Z,22.31,458
2026-04-11T01:43:58Z,22.3,445
2026-04-11T01:43:59Z,22.29,431
2026-04-11T01:44:00Z,22.34,440
2026-04-11T01:44:01Z,22.4,453
2026-04-11T01:44:02Z,22.13,439
2026-04-11T01:44:03Z,22.31,442
2026-04-11T01:44:04Z,22.03,423
2026-04-11T01:44:05Z,22.05,417
2026-04-11T01:44:06Z,22.36,427
2026-04-11T01:44:07Z,22.45,606
2026-04-11T01:44:08Z,22.25,410
2026-04-11T01:44:09Z,22.09,389
2026-04-11T01:44:10Z,21.93,411
2026-04-11T01:44:11Z,22.27,385
2026-04-11T01:44:12Z,22.12,404
2026-04-11T01:44:13Z,22.44,406
2026-04-11T01:44:14Z,22.35,414
2026-04-11T01:44:15Z,22.37,382
2026-04-11T01:44:16Z,22.1,389
2026-04-11T01:44:17Z,22.59,411
2026-04-11T01:44:18Z,22.74,409
2026-04-11T01:44:19Z,22.12,418
2026-04-11T01:44:20Z,22.42,418
2026-04-11T01:44:21Z,22.07,422
2026-04-11T01:44:22Z,22.32,420
2026-04-11T01:44:23Z,22.26,430
2026-04-11T01:44:24Z,22.04,442
2026-04-11T01:44:25Z,22.26,462
2026-04-11T01:44:26Z,21.97,436
2026-04-11T01:44:27Z,22.46,458
2026-04-11T01:44:28Z,22.32,438
2026-04-11T01:44:29Z,22.33,454
2026-04-11T01:44:30Z,22.28,443
2026-04-11T01:44:31Z,22.49,436
2026-04-11T01:44:32Z,22.13,438
2026-04-11T01:44:33Z,22.21,441
2026-04-11T01:44:34Z,22.37,438
2026-04-11T01:44:35Z,22.21,419
2026-04-11T01:44:36Z,22.49,424
2026-04-11T01:44:37Z,22.46,418
2026-04-11T01:44:38Z,22.79,417
2026-04-11T01:44:39Z,22.57,411
2026-04-11T01:44:40Z,22.75,396
2026-04-11T01:44:41Z,22.64,404
2026-04-11T01:44:42Z,22.52,403
2026-04-11T01:44:43Z,22.37,397
2026-04-11T01:44:44Z,22.38,391
2026-04-11T01:44:45Z,22.4,403
2026-04-11T01:44:46Z,22.29,405
2026-04-11T01:44:47Z,22.77,407
